id,apartmentImage,apartmentAdvertTitle,apartmentSize,numberOfApartmentRooms,apartmentPrice,apartmentPropertyType,apartmentLocation,apartmentAdvertDate
81,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/3/4/7/1/7/0/4/7z-jDaKc1lHQtWY9jLFDF.jpeg,vatandaşlık ikamet ve kredi için uygun büyük m2 1+1 süper lüks daire,86 m²,1 + 1,2.265.000 ₺,Sahibinden Satılık Daire,Beylikdüzü,01-05-2023
82,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/3/2/5/1/7/0/4/L6v4fe_FDe7-KeMljxgVD.jpeg,sahibinden deniz ve havuz manzaralı 2+1 sıfır daire,135 m²,2 + 1,4.600.000 ₺,Sahibinden Satılık Daire,Büyükçekmece,30-04-2023
83,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/0/8/4/4/7/0/4/1683316681437-40744808.jpg,sahibinden  site içerisinde kiralık daire,110 m²,3 + 1,15.000 ₺,Kiralık,Ataşehir,06-05-2023
84,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/0/2/9/3/7/0/4/UZVawAQlKobu-cZJzm1JE.jpg,sahibinden olivium marmaray 9-16 ve sahile yakın ful eşyalı balkonlu kiralık 2+1,80 m²,2 + 1,12.000 ₺,Sahibinden Kiralık Daire,Zeytinburnu,04-05-2023
85,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/6/3/3/3/7/0/4/jcx-oXMCxncIATX67Jw32.jpg,büyükçekmece sinanoba'da satılık 5.5+1 lüks villa,285 m²,5 + 1,12.000.000 ₺,Satılık,Büyükçekmece,03-05-2023
86,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/2/1/0/3/7/0/4/aiS_dDKE2nrpl-clXKe_P.jpg,soyak olimpiakent 5.bölge kiralık 140 m2 3+1 daire,140 m²,3 + 1,27.000 ₺,Sahibinden Kiralık Daire,Küçükçekmece,03-05-2023
87,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/7/8/8/2/7/0/4/BkaWUjEXC4LiMAFEeCx0S.jpg,mecidiyeköy profilo avm yanı 4+1 dubleks eşyalı daire,180 m²,4 + 1,26.000 ₺,Sahibinden Kiralık Daire,Şişli,03-05-2023
88,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/1/8/0/3/7/0/4/1683110007194-40730814.jpg,beylikdüzü e5 yanı metrobüse 5 dk 1+1 full eşyalı kiralık daire,70 m²,1 + 1,10.000 ₺,Sahibinden Kiralık Daire,Esenyurt,03-05-2023
89,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/4/8/1/4/7/0/4/M29WejCeKXebxL616R8P-.jpeg,"cambaztepe - denize 500mt - 350m2 3,5 kat - 722m2 arsa içinde - müstakil köşe parsel",350 m²,8 + 2,13.000.000 ₺,Satılık,Silivri,05-05-2023
90,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/7/2/7/3/7/0/4/1683199563041-40737270.jpg,ışletmeye hazır sezon başında kaçırılmayacak kupon,1.690 m²,,30.000 ₺,Kiralık,Ümraniye,04-05-2023
91,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/9/6/1/3/7/0/4/1683117416924-40731697.jpg,sahibinden kullanışlı ara kat,90 m²,2 + 1,2.550.000 ₺,Sahibinden Satılık Daire,Kağıthane,03-05-2023
